hour,pressure_value
0:00:00,36.02884336
1:00:00,35.99926023
2:00:00,35.93648963
3:00:00,35.80628404
4:00:00,35.56907993
5:00:00,35.68766182
6:00:00,37.04948439
7:00:00,37.91190289
8:00:00,38.03440372
9:00:00,35.65365706
10:00:00,36.76271198
11:00:00,36.6334497
12:00:00,38.23637947
13:00:00,37.45633546
14:00:00,37.49337127
15:00:00,35.87571129
16:00:00,35.18212683
17:00:00,34.3836456
18:00:00,33.78522528
19:00:00,32.56038458
20:00:00,34.3397825
21:00:00,34.40857451
22:00:00,34.51714545
23:00:00,35.76176315
24:00:00,35.89914369
25:00:00,35.90522218
26:00:00,35.64733886
27:00:00,36.01726022
28:00:00,36.00997607
29:00:00,35.70175065
30:00:00,37.31309824
31:00:00,37.85163557
32:00:00,38.04944146
33:00:00,35.67389275
34:00:00,36.40949339
35:00:00,36.52395282
36:00:00,37.65207274
37:00:00,37.11823339
38:00:00,37.91890824
39:00:00,35.41515396
40:00:00,35.00072319
41:00:00,33.95398552
42:00:00,33.96783758
43:00:00,33.43296011
44:00:00,33.96727429
45:00:00,34.41645449
46:00:00,34.85345473
47:00:00,36.40355654
48:00:00,35.56950866
49:00:00,35.89493489
50:00:00,35.81890806
51:00:00,36.45904905
52:00:00,36.14349645
53:00:00,35.93485864
54:00:00,36.91567083
55:00:00,38.17429226
56:00:00,37.71063024
57:00:00,35.26761132
58:00:00,36.60691214
59:00:00,37.39686083
60:00:00,37.84077853
61:00:00,37.38125845
62:00:00,37.86061238
63:00:00,35.30632587
64:00:00,35.09470713
65:00:00,34.38791885
66:00:00,33.98867396
67:00:00,33.09304468
68:00:00,34.311078
69:00:00,34.03268082
70:00:00,34.75411942
71:00:00,35.93325115
72:00:00,36.01983434
73:00:00,35.69685717
74:00:00,35.73172509
75:00:00,35.60260251
76:00:00,35.9173181
77:00:00,35.77639849
78:00:00,37.25527077
79:00:00,38.12000372
80:00:00,37.30280014
81:00:00,35.10513818
82:00:00,36.26758062
83:00:00,36.52421809
84:00:00,37.87263098
85:00:00,37.22225874
86:00:00,37.60798434
87:00:00,34.67167707
88:00:00,34.71497615
89:00:00,34.28120416
90:00:00,33.53868835
91:00:00,33.77474207
92:00:00,34.22491751
93:00:00,34.00837788
94:00:00,34.75797143
95:00:00,36.34140677
96:00:00,35.97107472
97:00:00,35.67430816
98:00:00,35.7894484
99:00:00,36.19220785
100:00:00,35.94810942
101:00:00,35.82390369
102:00:00,37.86549627
103:00:00,38.13710951
104:00:00,37.7614337
105:00:00,35.49205811
106:00:00,36.67242166
107:00:00,37.22279034
108:00:00,38.10276764
109:00:00,37.03106942
110:00:00,37.57830182
111:00:00,35.71260443
112:00:00,35.27448535
113:00:00,34.44111547
114:00:00,34.22328171
